Lipid,Sample,Value,DayNight,hours,SubjectID
PC(14:0/16:0),Subject_1_time_1,-11.135558509818397,day,1.5,Subject_1
CE(18:2),Subject_1_time_1,6.790707983486301,day,1.5,Subject_1
PC(18:0/18:2),Subject_1_time_1,-3.825045126174182,day,1.5,Subject_1
PC(20:3/0:0)_B,Subject_1_time_1,-3.212173274022051,day,1.5,Subject_1
PC(17:0/20:3)_B,Subject_1_time_1,4.489199264250571,day,1.5,Subject_1
PC(14:0/18:2);PC(16:1/16:1),Subject_1_time_1,2.187259186786144,day,1.5,Subject_1
TG(56:7),Subject_1_time_1,-6.030098458830863,day,1.5,Subject_1
PC(18:0/20:4);PC(16:0/22:4),Subject_1_time_1,-7.1741910890955145,day,1.5,Subject_1
PC(16:0/20:5),Subject_1_time_1,-7.728822406611291,day,1.5,Subject_1
TG(18:1/18:1/21:0),Subject_1_time_1,-4.536036694882417,day,1.5,Subject_1
PC(18:0/22:5)_A,Subject_1_time_1,7.7906055281601665,day,1.5,Subject_1
TG(16:0/16:0/18:0),Subject_1_time_1,4.109826651937389,day,1.5,Subject_1
PC(P-16:0/18:2),Subject_1_time_1,6.032485346176763,day,1.5,Subject_1
PC(18:1/20:1),Subject_1_time_1,4.064115104243572,day,1.5,Subject_1
PC(0:0/20:4)_A,Subject_1_time_1,-0.5170318126816402,day,1.5,Subject_1
SM(d18:2/16:0)_B,Subject_1_time_1,-6.572270425651135,day,1.5,Subject_1
SM(d18:1/16:0)_B,Subject_1_time_1,-0.2555029837874936,day,1.5,Subject_1
TG(18:2/18:3/18:3),Subject_1_time_1,-2.2302676857343715,day,1.5,Subject_1
TG(51:1),Subject_1_time_1,-1.80891550621711,day,1.5,Subject_1
TG(16:1/18:2/18:3),Subject_1_time_1,-1.6823555568198238,day,1.5,Subject_1
PC(0:0/14:0)_A,Subject_1_time_1,11.699640281914565,day,1.5,Subject_1
SM(d18:2/25:0),Subject_1_time_1,0.3978224207173758,day,1.5,Subject_1
TG(16:0/18:2/22:6),Subject_1_time_1,2.662994812488409,day,1.5,Subject_1
TG(16:0/18:2/20:4);TG(18:1/18:2/18:3),Subject_1_time_1,-5.375433623504121,day,1.5,Subject_1
PC(18:3/0:0),Subject_1_time_1,7.001333577749595,day,1.5,Subject_1
PC(18:1/20:4);PC(16:0/22:5),Subject_1_time_1,-0.6046376194980863,day,1.5,Subject_1
SM(d18:1/17:0),Subject_1_time_1,4.529027805110859,day,1.5,Subject_1
SM(d16:1/16:0),Subject_1_time_1,-0.5807445817664095,day,1.5,Subject_1
PC(22:6/0:0)_A,Subject_1_time_1,4.685300557869362,day,1.5,Subject_1
TG(17:0/18:1/18:1),Subject_1_time_1,4.274503179475447,day,1.5,Subject_1
PC(18:0/22:4),Subject_1_time_1,-6.805348498509036,day,1.5,Subject_1
PC(18:1/22:6)_B,Subject_1_time_1,-0.8774751395357541,day,1.5,Subject_1
TG(44:1),Subject_1_time_1,-4.522801148804499,day,1.5,Subject_1
PC(O-18:0/22:6),Subject_1_time_1,0.5184926374368359,day,1.5,Subject_1
PC(17:0/20:4)_B,Subject_1_time_1,3.5922384634607964,day,1.5,Subject_1
TG(62:2),Subject_1_time_1,3.870945568097025,day,1.5,Subject_1
TG(14:0/16:0/16:0),Subject_1_time_1,-1.9304431997969116,day,1.5,Subject_1
TG(52:5),Subject_1_time_1,-4.541269568147138,day,1.5,Subject_1
TG(48:2),Subject_1_time_1,-7.430577222742207,day,1.5,Subject_1
PC(15:0/20:5),Subject_1_time_1,4.748450214897568,day,1.5,Subject_1
PC(20:3/20:4),Subject_1_time_1,3.307048592298877,day,1.5,Subject_1
PC(18:1/20:3),Subject_1_time_1,12.994423513400193,day,1.5,Subject_1
PC(22:6/0:0)_B,Subject_1_time_1,0.9772261970905269,day,1.5,Subject_1
Cer(d18:0/22:0),Subject_1_time_1,7.887133150061736,day,1.5,Subject_1
TG(18:2/18:2/18:3),Subject_1_time_1,-3.535225616750085,day,1.5,Subject_1
SM(d18:2/14:0),Subject_1_time_1,-3.0377269543837135,day,1.5,Subject_1
TG(16:0/18:1/20:4),Subject_1_time_1,8.979994591395345,day,1.5,Subject_1
TG(18:1/18:2/23:0),Subject_1_time_1,-3.69649456443158,day,1.5,Subject_1
DG(18:1/0:0/18:1);DG(18:0/18:2/0:0),Subject_1_time_1,-0.5773132139383004,day,1.5,Subject_1
PC(16:0/16:1);PC(14:0/18:1),Subject_1_time_1,2.818732126150791,day,1.5,Subject_1
PC(16:1/0:0)_A,Subject_1_time_1,1.3346903728190762,day,1.5,Subject_1
PC(16:0/O-16:0),Subject_1_time_1,-6.0001525641463385,day,1.5,Subject_1
TG(16:0/18:1/22:0),Subject_1_time_1,-6.917533509187282,day,1.5,Subject_1
CE(20:3),Subject_1_time_1,2.0841843449307618,day,1.5,Subject_1
PC(16:0/9:0(CHO)),Subject_1_time_1,-2.6278962528297156,day,1.5,Subject_1
PC(O-18:0/18:1),Subject_1_time_1,-10.702487581334509,day,1.5,Subject_1
TG(14:0/16:0/22:6),Subject_1_time_1,6.715315051466341,day,1.5,Subject_1
PC(15:0/16:0),Subject_1_time_1,-8.36341970080994,day,1.5,Subject_1
PC(20:0/20:4),Subject_1_time_1,0.20062931652438667,day,1.5,Subject_1
TG(58:1),Subject_1_time_1,2.0087579064348517,day,1.5,Subject_1
TG(18:1/18:2/26:0),Subject_1_time_1,-0.08355874125856824,day,1.5,Subject_1
PC(20:3/0:0)_A,Subject_1_time_1,4.809533308192055,day,1.5,Subject_1
TG(18:1/22:0/22:0),Subject_1_time_2,-0.6319377412236984,day,4.5,Subject_1
TG(54:0),Subject_1_time_2,1.66597244992098,day,4.5,Subject_1
PC(O-18:0/20:3),Subject_1_time_2,3.629088743090082,day,4.5,Subject_1
TG(16:0/18:1/18:1),Subject_1_time_2,-0.2651685480183369,day,4.5,Subject_1
Cer(d18:0/24:0),Subject_1_time_2,-0.13957931360272757,day,4.5,Subject_1
PC(18:2/0:0)_B,Subject_1_time_2,0.5830903644244514,day,4.5,Subject_1
TG(15:0/18:1/18:2),Subject_1_time_2,-1.07498671857601,day,4.5,Subject_1
PC(16:0/18:1),Subject_1_time_2,0.6186675044324653,day,4.5,Subject_1
PC(0:0/14:0)_B,Subject_1_time_2,-5.197198349499926,day,4.5,Subject_1
GalCer(d18:1/24:0),Subject_1_time_2,-2.0450667965074154,day,4.5,Subject_1
PC(16:0/20:4)_A,Subject_1_time_2,-0.78425083093038,day,4.5,Subject_1
TG(16:1/16:1/22:6),Subject_1_time_2,-1.2898700581736056,day,4.5,Subject_1
PC(37:5),Subject_1_time_2,-1.703365993926662,day,4.5,Subject_1
PC(O-18:1/18:2),Subject_1_time_2,5.31444037509697,day,4.5,Subject_1
PC(17:0/18:2)_B,Subject_1_time_2,0.531754924139891,day,4.5,Subject_1
TG(18:2/18:2/24:0),Subject_1_time_2,-4.290306532149497,day,4.5,Subject_1
PC(15:0/20:3),Subject_1_time_2,0.023952258291521818,day,4.5,Subject_1
SM(d18:2/21:0),Subject_1_time_2,-1.381217534605061,day,4.5,Subject_1
TG(16:0/18:0/18:0),Subject_1_time_2,-3.961534273247122,day,4.5,Subject_1
PC(18:0/18:0);PC(16:0/20:0),Subject_1_time_2,-5.133374153917321,day,4.5,Subject_1
TG(54:1),Subject_1_time_2,-5.2219216608234085,day,4.5,Subject_1
PC(18:2/18:2),Subject_1_time_2,-3.5024958490644056,day,4.5,Subject_1
TG(54:3),Subject_1_time_2,1.5802701260488634,day,4.5,Subject_1
TG(56:2),Subject_1_time_2,-11.85109765830699,day,4.5,Subject_1
SM(d18:1/22:0),Subject_1_time_2,-8.307522262419258,day,4.5,Subject_1
PC(16:1/20:4),Subject_1_time_2,1.3637701368277915,day,4.5,Subject_1
PC(22:0/0:0),Subject_1_time_2,-4.694636262270833,day,4.5,Subject_1
DG(18:0/0:0/18:0),Subject_1_time_2,-1.572220391691677,day,4.5,Subject_1
TG(47:0),Subject_1_time_2,6.114246421643504,day,4.5,Subject_1
TG(12:0/18:2/20:4),Subject_1_time_2,11.626253385432912,day,4.5,Subject_1
PC(15:0/18:2),Subject_1_time_2,0.9547675037965295,day,4.5,Subject_1
TG(56:3),Subject_1_time_2,-10.009019422058232,day,4.5,Subject_1
TG(18:1/18:1/23:0),Subject_1_time_2,10.146498613832629,day,4.5,Subject_1
SM(d16:1/14:0),Subject_1_time_2,-4.353301050570473,day,4.5,Subject_1
PC(P-18:0/22:6)_B,Subject_1_time_2,-3.8938165083567493,day,4.5,Subject_1
PC(18:0/18:1),Subject_1_time_2,-1.059090769088291,day,4.5,Subject_1
PC(0:0/16:0)_A,Subject_1_time_2,1.7215626386905447,day,4.5,Subject_1
TG(58:9),Subject_1_time_2,3.8655383340330536,day,4.5,Subject_1
PC(14:0/16:0),Subject_1_time_2,-11.389705290679471,day,4.5,Subject_1
CE(18:2),Subject_1_time_2,0.3218359016032504,day,4.5,Subject_1
PC(18:0/18:2),Subject_1_time_2,2.0010168347268618,day,4.5,Subject_1
PC(20:3/0:0)_B,Subject_1_time_2,-7.78512326976103,day,4.5,Subject_1
PC(17:0/20:3)_B,Subject_1_time_2,5.377400778714642,day,4.5,Subject_1
PC(14:0/18:2);PC(16:1/16:1),Subject_1_time_2,-0.4155811183021597,day,4.5,Subject_1
TG(56:7),Subject_1_time_2,-7.7630302942039755,day,4.5,Subject_1
PC(18:0/20:4);PC(16:0/22:4),Subject_1_time_2,-2.5465823728213963,day,4.5,Subject_1
PC(16:0/20:5),Subject_1_time_2,-4.973465266009859,day,4.5,Subject_1
TG(18:1/18:1/21:0),Subject_1_time_2,0.3567086900889621,day,4.5,Subject_1
PC(18:0/22:5)_A,Subject_1_time_2,5.301327022199731,day,4.5,Subject_1
TG(16:0/16:0/18:0),Subject_1_time_2,13.391762216223922,day,4.5,Subject_1
PC(P-16:0/18:2),Subject_1_time_2,9.066722045182367,day,4.5,Subject_1
PC(18:1/20:1),Subject_1_time_2,-1.356392865063909,day,4.5,Subject_1
PC(0:0/20:4)_A,Subject_1_time_2,-1.7246557192248022,day,4.5,Subject_1
SM(d18:2/16:0)_B,Subject_1_time_2,6.71539916428698,day,4.5,Subject_1
SM(d18:1/16:0)_B,Subject_1_time_2,-5.71359772791732,day,4.5,Subject_1
TG(18:2/18:3/18:3),Subject_1_time_2,0.4264501216080675,day,4.5,Subject_1
TG(51:1),Subject_1_time_2,-9.221359807848804,day,4.5,Subject_1
TG(16:1/18:2/18:3),Subject_1_time_2,3.8443016906633027,day,4.5,Subject_1
PC(0:0/14:0)_A,Subject_1_time_2,15.32810053974581,day,4.5,Subject_1
SM(d18:2/25:0),Subject_1_time_2,-3.7223426295817816,day,4.5,Subject_1
TG(16:0/18:2/22:6),Subject_1_time_2,-2.638401741139929,day,4.5,Subject_1
TG(16:0/18:2/20:4);TG(18:1/18:2/18:3),Subject_1_time_2,-5.478985001232825,day,4.5,Subject_1
PC(18:3/0:0),Subject_1_time_2,4.322656273026842,day,4.5,Subject_1
PC(18:1/20:4);PC(16:0/22:5),Subject_1_time_2,-4.449569337116965,day,4.5,Subject_1
SM(d18:1/17:0),Subject_1_time_2,-2.4876639497067385,day,4.5,Subject_1
SM(d16:1/16:0),Subject_1_time_2,-3.455955210557322,day,4.5,Subject_1
PC(22:6/0:0)_A,Subject_1_time_2,9.462869659530618,day,4.5,Subject_1
TG(17:0/18:1/18:1),Subject_1_time_2,4.339845234138507,day,4.5,Subject_1
PC(18:0/22:4),Subject_1_time_2,-10.208085266095543,day,4.5,Subject_1
PC(18:1/22:6)_B,Subject_1_time_2,-2.1412730102086757,day,4.5,Subject_1
TG(44:1),Subject_1_time_2,1.2572227263809364,day,4.5,Subject_1
PC(O-18:0/22:6),Subject_1_time_2,2.022081520172989,day,4.5,Subject_1
PC(17:0/20:4)_B,Subject_1_time_2,-6.127535709545615,day,4.5,Subject_1
TG(62:2),Subject_1_time_2,1.2731830512928297,day,4.5,Subject_1
TG(14:0/16:0/16:0),Subject_1_time_2,3.8344147735295895,day,4.5,Subject_1
TG(52:5),Subject_1_time_2,-3.100134716495623,day,4.5,Subject_1
TG(48:2),Subject_1_time_2,4.4821839548708144,day,4.5,Subject_1
PC(15:0/20:5),Subject_1_time_2,-2.870384973249696,day,4.5,Subject_1
PC(20:3/20:4),Subject_1_time_2,2.860227559059237,day,4.5,Subject_1
PC(18:1/20:3),Subject_1_time_2,1.9020220264057248,day,4.5,Subject_1
PC(22:6/0:0)_B,Subject_1_time_2,13.495553146594526,day,4.5,Subject_1
Cer(d18:0/22:0),Subject_1_time_2,8.335197642435078,day,4.5,Subject_1
TG(18:2/18:2/18:3),Subject_1_time_2,-8.911982485260685,day,4.5,Subject_1
SM(d18:2/14:0),Subject_1_time_2,0.3474930520198276,day,4.5,Subject_1
TG(16:0/18:1/20:4),Subject_1_time_2,1.8487092291602338,day,4.5,Subject_1
TG(18:1/18:2/23:0),Subject_1_time_2,5.901793497131053,day,4.5,Subject_1
DG(18:1/0:0/18:1);DG(18:0/18:2/0:0),Subject_1_time_2,0.7799330804223232,day,4.5,Subject_1
PC(16:0/16:1);PC(14:0/18:1),Subject_1_time_2,0.6499179472647751,day,4.5,Subject_1
PC(16:1/0:0)_A,Subject_1_time_2,3.5650240482016313,day,4.5,Subject_1
PC(16:0/O-16:0),Subject_1_time_2,-10.729881888892253,day,4.5,Subject_1
TG(16:0/18:1/22:0),Subject_1_time_2,1.2864426457452365,day,4.5,Subject_1
CE(20:3),Subject_1_time_2,7.59064947411071,day,4.5,Subject_1
PC(16:0/9:0(CHO)),Subject_1_time_2,-0.4630597255875012,day,4.5,Subject_1
PC(O-18:0/18:1),Subject_1_time_2,-12.42711972742996,day,4.5,Subject_1
TG(14:0/16:0/22:6),Subject_1_time_2,-0.13650680603122484,day,4.5,Subject_1
PC(15:0/16:0),Subject_1_time_2,-9.55022083416593,day,4.5,Subject_1
PC(20:0/20:4),Subject_1_time_2,7.662868101277526,day,4.5,Subject_1
TG(58:1),Subject_1_time_2,-2.258143112822085,day,4.5,Subject_1
TG(18:1/18:2/26:0),Subject_1_time_2,2.6961443590252046,day,4.5,Subject_1
PC(20:3/0:0)_A,Subject_1_time_2,-2.7256133432667116,day,4.5,Subject_1
TG(18:1/22:0/22:0),Subject_1_time_3,2.6208708026691165,day,7.5,Subject_1
TG(54:0),Subject_1_time_3,8.212159911656238,day,7.5,Subject_1
PC(O-18:0/20:3),Subject_1_time_3,-0.7105375978661337,day,7.5,Subject_1
TG(16:0/18:1/18:1),Subject_1_time_3,1.8197821466985158,day,7.5,Subject_1
Cer(d18:0/24:0),Subject_1_time_3,-8.032922213301148,day,7.5,Subject_1
PC(18:2/0:0)_B,Subject_1_time_3,-3.5858886460756376,day,7.5,Subject_1
TG(15:0/18:1/18:2),Subject_1_time_3,-1.6966368569655537,day,7.5,Subject_1
PC(16:0/18:1),Subject_1_time_3,-0.1216164978836526,day,7.5,Subject_1
PC(0:0/14:0)_B,Subject_1_time_3,2.1958343909603375,day,7.5,Subject_1
GalCer(d18:1/24:0),Subject_1_time_3,-4.142639533000303,day,7.5,Subject_1
PC(16:0/20:4)_A,Subject_1_time_3,1.7657335923301916,day,7.5,Subject_1
TG(16:1/16:1/22:6),Subject_1_time_3,-2.332761576543829,day,7.5,Subject_1
PC(37:5),Subject_1_time_3,0.3279634410089906,day,7.5,Subject_1
PC(O-18:1/18:2),Subject_1_time_3,1.626150763525116,day,7.5,Subject_1
PC(17:0/18:2)_B,Subject_1_time_3,1.1303206427533283,day,7.5,Subject_1
TG(18:2/18:2/24:0),Subject_1_time_3,3.257135010641964,day,7.5,Subject_1
PC(15:0/20:3),Subject_1_time_3,4.451184523426579,day,7.5,Subject_1
SM(d18:2/21:0),Subject_1_time_3,-2.9339764472087317,day,7.5,Subject_1
TG(16:0/18:0/18:0),Subject_1_time_3,1.5246634323149464,day,7.5,Subject_1
PC(18:0/18:0);PC(16:0/20:0),Subject_1_time_3,-0.9168624884538614,day,7.5,Subject_1
TG(54:1),Subject_1_time_3,-3.7727732881205966,day,7.5,Subject_1
PC(18:2/18:2),Subject_1_time_3,-5.80252046829487,day,7.5,Subject_1
TG(54:3),Subject_1_time_3,-1.6658004753203035,day,7.5,Subject_1
TG(56:2),Subject_1_time_3,-4.952975162974846,day,7.5,Subject_1
SM(d18:1/22:0),Subject_1_time_3,-5.748492101872347,day,7.5,Subject_1
PC(16:1/20:4),Subject_1_time_3,6.034335020330188,day,7.5,Subject_1
PC(22:0/0:0),Subject_1_time_3,-1.258580374196545,day,7.5,Subject_1
DG(18:0/0:0/18:0),Subject_1_time_3,-5.132670511654282,day,7.5,Subject_1
TG(47:0),Subject_1_time_3,9.812215294987784,day,7.5,Subject_1
TG(12:0/18:2/20:4),Subject_1_time_3,7.556525264908325,day,7.5,Subject_1
PC(15:0/18:2),Subject_1_time_3,1.3772629055005516,day,7.5,Subject_1
TG(56:3),Subject_1_time_3,-13.64682236403279,day,7.5,Subject_1
TG(18:1/18:1/23:0),Subject_1_time_3,9.022649063091585,day,7.5,Subject_1
SM(d16:1/14:0),Subject_1_time_3,0.22432361990940006,day,7.5,Subject_1
PC(P-18:0/22:6)_B,Subject_1_time_3,0.6879829746646561,day,7.5,Subject_1
PC(18:0/18:1),Subject_1_time_3,-1.613255770263311,day,7.5,Subject_1
PC(0:0/16:0)_A,Subject_1_time_3,9.42961180422642,day,7.5,Subject_1
TG(58:9),Subject_1_time_3,8.642201182249835,day,7.5,Subject_1
PC(14:0/16:0),Subject_1_time_3,-4.374821863997166,day,7.5,Subject_1
CE(18:2),Subject_1_time_3,4.922267316180542,day,7.5,Subject_1
PC(18:0/18:2),Subject_1_time_3,-3.4975638276278707,day,7.5,Subject_1
PC(20:3/0:0)_B,Subject_1_time_3,-5.399819725691709,day,7.5,Subject_1
PC(17:0/20:3)_B,Subject_1_time_3,0.6728532757840828,day,7.5,Subject_1
PC(14:0/18:2);PC(16:1/16:1),Subject_1_time_3,2.3561490420881435,day,7.5,Subject_1
TG(56:7),Subject_1_time_3,-4.536401478284791,day,7.5,Subject_1
PC(18:0/20:4);PC(16:0/22:4),Subject_1_time_3,1.6351437860681033,day,7.5,Subject_1
PC(16:0/20:5),Subject_1_time_3,3.617018563203339,day,7.5,Subject_1
TG(18:1/18:1/21:0),Subject_1_time_3,0.3330470016777761,day,7.5,Subject_1
PC(18:0/22:5)_A,Subject_1_time_3,0.20434808503873536,day,7.5,Subject_1
TG(16:0/16:0/18:0),Subject_1_time_3,9.734500295089378,day,7.5,Subject_1
PC(P-16:0/18:2),Subject_1_time_3,1.7977334955184299,day,7.5,Subject_1
PC(18:1/20:1),Subject_1_time_3,-2.5883539139901806,day,7.5,Subject_1
PC(0:0/20:4)_A,Subject_1_time_3,-0.7879168653203186,day,7.5,Subject_1
SM(d18:2/16:0)_B,Subject_1_time_3,7.538390870701089,day,7.5,Subject_1
SM(d18:1/16:0)_B,Subject_1_time_3,-3.95543131747744,day,7.5,Subject_1
TG(18:2/18:3/18:3),Subject_1_time_3,-2.4720381167844296,day,7.5,Subject_1
TG(51:1),Subject_1_time_3,-10.947463397193616,day,7.5,Subject_1
TG(16:1/18:2/18:3),Subject_1_time_3,5.288516358468215,day,7.5,Subject_1
PC(0:0/14:0)_A,Subject_1_time_3,10.046377534231526,day,7.5,Subject_1
SM(d18:2/25:0),Subject_1_time_3,-1.8352161423642743,day,7.5,Subject_1
TG(16:0/18:2/22:6),Subject_1_time_3,4.1335246912109165,day,7.5,Subject_1
TG(16:0/18:2/20:4);TG(18:1/18:2/18:3),Subject_1_time_3,5.23727305942032,day,7.5,Subject_1
PC(18:3/0:0),Subject_1_time_3,0.44743825862335396,day,7.5,Subject_1
PC(18:1/20:4);PC(16:0/22:5),Subject_1_time_3,-3.37921875161696,day,7.5,Subject_1
SM(d18:1/17:0),Subject_1_time_3,-6.900426304091165,day,7.5,Subject_1
SM(d16:1/16:0),Subject_1_time_3,0.9105139800407892,day,7.5,Subject_1
PC(22:6/0:0)_A,Subject_1_time_3,16.00783752430099,day,7.5,Subject_1
TG(17:0/18:1/18:1),Subject_1_time_3,7.826972784278948,day,7.5,Subject_1
PC(18:0/22:4),Subject_1_time_3,-4.146875455504223,day,7.5,Subject_1
PC(18:1/22:6)_B,Subject_1_time_3,-6.100583021455069,day,7.5,Subject_1
TG(44:1),Subject_1_time_3,8.211057698717635,day,7.5,Subject_1
PC(O-18:0/22:6),Subject_1_time_3,3.2172654527211453,day,7.5,Subject_1
PC(17:0/20:4)_B,Subject_1_time_3,-8.836168330870573,day,7.5,Subject_1
TG(62:2),Subject_1_time_3,-3.644710374814049,day,7.5,Subject_1
TG(14:0/16:0/16:0),Subject_1_time_3,-3.432810381701749,day,7.5,Subject_1
TG(52:5),Subject_1_time_3,0.4988851223549889,day,7.5,Subject_1
TG(48:2),Subject_1_time_3,9.452568890489598,day,7.5,Subject_1
PC(15:0/20:5),Subject_1_time_3,-5.425122110623718,day,7.5,Subject_1
PC(20:3/20:4),Subject_1_time_3,6.2174925656534175,day,7.5,Subject_1
PC(18:1/20:3),Subject_1_time_3,-4.728109070214844,day,7.5,Subject_1
PC(22:6/0:0)_B,Subject_1_time_3,9.790651664721196,day,7.5,Subject_1
Cer(d18:0/22:0),Subject_1_time_3,1.946094772410764,day,7.5,Subject_1
TG(18:2/18:2/18:3),Subject_1_time_3,-6.495819737691704,day,7.5,Subject_1
SM(d18:2/14:0),Subject_1_time_3,0.8695427334190906,day,7.5,Subject_1
TG(16:0/18:1/20:4),Subject_1_time_3,-2.8812850615158796,day,7.5,Subject_1
TG(18:1/18:2/23:0),Subject_1_time_3,6.150967471670286,day,7.5,Subject_1
DG(18:1/0:0/18:1);DG(18:0/18:2/0:0),Subject_1_time_3,-0.9292506536947922,day,7.5,Subject_1
PC(16:0/16:1);PC(14:0/18:1),Subject_1_time_3,-1.9202481004879628,day,7.5,Subject_1
PC(16:1/0:0)_A,Subject_1_time_3,5.941661594050434,day,7.5,Subject_1
PC(16:0/O-16:0),Subject_1_time_3,-12.633348571429446,day,7.5,Subject_1
TG(16:0/18:1/22:0),Subject_1_time_3,1.2535156897631121,day,7.5,Subject_1
CE(20:3),Subject_1_time_3,6.8756921587332105,day,7.5,Subject_1
PC(16:0/9:0(CHO)),Subject_1_time_3,1.5526036282201268,day,7.5,Subject_1
PC(O-18:0/18:1),Subject_1_time_3,-4.755044129291697,day,7.5,Subject_1
TG(14:0/16:0/22:6),Subject_1_time_3,1.9250363746912258,day,7.5,Subject_1
PC(15:0/16:0),Subject_1_time_3,-9.097308675679336,day,7.5,Subject_1
PC(20:0/20:4),Subject_1_time_3,11.093836215770871,day,7.5,Subject_1
TG(58:1),Subject_1_time_3,4.436687925487335,day,7.5,Subject_1
TG(18:1/18:2/26:0),Subject_1_time_3,-1.555130692675791,day,7.5,Subject_1
PC(20:3/0:0)_A,Subject_1_time_3,-6.565721431616388,day,7.5,Subject_1
TG(18:1/22:0/22:0),Subject_1_time_4,8.128638882944328,day,10.5,Subject_1
TG(54:0),Subject_1_time_4,6.539045290343116,day,10.5,Subject_1
PC(O-18:0/20:3),Subject_1_time_4,-4.826116495130573,day,10.5,Subject_1
TG(16:0/18:1/18:1),Subject_1_time_4,2.006819324464766,day,10.5,Subject_1
Cer(d18:0/24:0),Subject_1_time_4,-8.25268350651042,day,10.5,Subject_1
PC(18:2/0:0)_B,Subject_1_time_4,-2.4274847172578453,day,10.5,Subject_1
TG(15:0/18:1/18:2),Subject_1_time_4,1.4674468709692938,day,10.5,Subject_1
PC(16:0/18:1),Subject_1_time_4,-0.06441083976020004,day,10.5,Subject_1
PC(0:0/14:0)_B,Subject_1_time_4,6.520767519064617,day,10.5,Subject_1
GalCer(d18:1/24:0),Subject_1_time_4,-2.7430144270829397,day,10.5,Subject_1
PC(16:0/20:4)_A,Subject_1_time_4,4.656236763782924,day,10.5,Subject_1
TG(16:1/16:1/22:6),Subject_1_time_4,-7.82521185316387,day,10.5,Subject_1
PC(37:5),Subject_1_time_4,1.1561816965076508,day,10.5,Subject_1
PC(O-18:1/18:2),Subject_1_time_4,-6.646607850434637,day,10.5,Subject_1
PC(17:0/18:2)_B,Subject_1_time_4,-1.605931314072622,day,10.5,Subject_1
TG(18:2/18:2/24:0),Subject_1_time_4,-2.0759554999133956,day,10.5,Subject_1
PC(15:0/20:3),Subject_1_time_4,11.226172541752508,day,10.5,Subject_1
